customer_id,customer_name,region,signup_date,customer_segment
1,Thabo Mahlangu,Eastern Cape,2023-08-17,Consumer
2,Tshepo Pillay,Western Cape,2023-07-29,Small Business
3,Thabo Dlamini,Eastern Cape,2023-03-07,Consumer
4,Zanele Mthembu,Free State,2023-02-24,Consumer
5,Sibusiso Mokoena,KwaZulu-Natal,2024-07-23,Small Business
6,Kagiso Naidoo,Eastern Cape,2024-11-27,Corporate
7,Lerato Dlamini,Free State,2024-11-20,Consumer
8,Karabo Mahlangu,Gauteng,2024-12-05,Small Business
9,Lerato Ndlovu,Western Cape,2026-01-03,Small Business
10,Karabo Mthembu,Western Cape,2025-01-10,Consumer
11,Sibusiso Mahlangu,Western Cape,2024-04-11,Corporate
12,Mpho Mahlangu,North West,2023-07-26,Small Business
13,Sipho Molefe,Mpumalanga,2025-01-17,Consumer
14,Nokuthula Dlamini,KwaZulu-Natal,2024-06-30,Consumer
15,Sipho Jacobs,Free State,2024-05-16,Consumer
16,Tshepo Molefe,Gauteng,2024-03-25,Consumer
17,Sibusiso Molefe,Free State,2023-03-07,Consumer
18,Boitumelo Mkhize,Mpumalanga,2024-03-08,Consumer
19,Mpho Jacobs,KwaZulu-Natal,2025-10-19,Consumer
20,Nokuthula Pillay,Limpopo,2024-05-20,Small Business
21,Boitumelo Mkhize,Free State,2025-05-27,Consumer
22,Zanele Jacobs,Western Cape,2023-10-11,Small Business
23,Sipho Naidoo,Free State,2023-08-13,Small Business
24,Mpho Mkhize,North West,2025-02-27,Consumer
25,Tshepo Dlamini,Limpopo,2023-01-24,Small Business
26,Lerato Mahlangu,Free State,2024-11-27,Consumer
27,Nokuthula Mahlangu,KwaZulu-Natal,2023-01-07,Consumer
28,Palesa Mahlangu,Eastern Cape,2023-08-06,Consumer
29,Zanele Pillay,Gauteng,2023-11-27,Small Business
30,Thabo Dlamini,Mpumalanga,2025-09-27,Corporate
31,Nomsa Mokoena,Eastern Cape,2024-09-21,Corporate
32,Lerato Jacobs,Western Cape,2023-06-11,Corporate
33,Sibusiso Naidoo,KwaZulu-Natal,2025-12-26,Small Business
34,Kagiso Pillay,Free State,2023-12-05,Corporate
35,Nokuthula Mahlangu,Free State,2024-02-16,Corporate
36,Anele Pillay,North West,2025-02-03,Consumer
37,Lerato Molefe,Gauteng,2024-04-05,Small Business
38,Karabo Mthembu,Gauteng,2024-04-16,Consumer
39,Nomsa Dlamini,Gauteng,2023-05-01,Corporate
40,Zanele Mthembu,Limpopo,2023-05-26,Small Business
41,Zanele Naidoo,North West,2024-03-14,Consumer
42,Sibusiso Ndlovu,Eastern Cape,2025-08-26,Consumer
43,Naledi Ndlovu,Free State,2025-06-01,Consumer
44,Tshepo Dlamini,Gauteng,2023-04-21,Consumer
45,Sibusiso Dlamini,Eastern Cape,2024-11-25,Consumer
46,Anele Naidoo,Free State,2026-01-03,Consumer
47,Nomsa Dlamini,North West,2025-08-05,Small Business
48,Thabo Pillay,Gauteng,2023-07-20,Corporate
49,Sipho Ndlovu,North West,2024-04-29,Consumer
50,Boitumelo Mokoena,KwaZulu-Natal,2025-04-01,Consumer
51,Kagiso Jacobs,Limpopo,2025-03-10,Consumer
52,Sipho Mthembu,Limpopo,2025-09-23,Consumer
53,Karabo Pillay,Gauteng,2023-04-30,Small Business
54,Thabo Mkhize,North West,2023-04-28,Consumer
55,Sipho Mokoena,Western Cape,2025-12-23,Corporate
56,Karabo Dlamini,Eastern Cape,2023-05-21,Consumer
57,Karabo Mkhize,Gauteng,2024-05-19,Small Business
58,Tshepo Mkhize,Mpumalanga,2025-05-08,Corporate
59,Tshepo Molefe,Eastern Cape,2024-02-23,Consumer
60,Tshepo Mahlangu,North West,2023-09-26,Consumer
61,Thabo Jacobs,Western Cape,2023-05-29,Consumer
62,Zanele Mahlangu,KwaZulu-Natal,2024-03-12,Corporate
63,Boitumelo Mthembu,Mpumalanga,2023-05-21,Consumer
64,Palesa Pillay,Limpopo,2025-06-16,Small Business
65,Thabo Pillay,Limpopo,2025-12-19,Corporate
66,Boitumelo Naidoo,Limpopo,2023-08-01,Consumer
67,Nokuthula Pillay,KwaZulu-Natal,2023-08-08,Consumer
68,Nokuthula Molefe,Eastern Cape,2024-03-07,Small Business
69,Zanele Jacobs,Limpopo,2024-06-24,Corporate
70,Lerato Ndlovu,Limpopo,2023-04-15,Consumer
71,Sibusiso Naidoo,Limpopo,2024-11-14,Consumer
72,Zanele Ndlovu,Gauteng,2025-06-23,Consumer
73,Zanele Mokoena,Mpumalanga,2023-11-02,Small Business
74,Mpho Naidoo,Gauteng,2023-10-31,Consumer
75,Boitumelo Molefe,Eastern Cape,2023-03-23,Small Business
76,Naledi Pillay,Free State,2023-07-30,Corporate
77,Boitumelo Mthembu,KwaZulu-Natal,2023-11-13,Corporate
78,Boitumelo Ndlovu,Gauteng,2023-12-29,Consumer
79,Sibusiso Ndlovu,Eastern Cape,2024-11-11,Consumer
80,Mpho Mokoena,North West,2023-08-10,Consumer
81,Naledi Mahlangu,Eastern Cape,2025-07-31,Consumer
82,Mpho Molefe,Limpopo,2024-01-31,Corporate
83,Naledi Pillay,Free State,2024-07-25,Small Business
84,Naledi Mokoena,Western Cape,2026-01-03,Corporate
85,Sipho Mkhize,Limpopo,2024-06-18,Consumer
86,Naledi Molefe,Free State,2025-06-08,Small Business
87,Lerato Ndlovu,Eastern Cape,2025-11-13,Consumer
88,Thabo Pillay,Eastern Cape,2025-06-12,Consumer
89,Tshepo Molefe,Mpumalanga,2023-05-24,Small Business
90,Nokuthula Mahlangu,Limpopo,2023-09-13,Small Business
91,Mpho Mahlangu,KwaZulu-Natal,2024-10-30,Consumer
92,Tshepo Naidoo,Limpopo,2025-02-15,Consumer
93,Kagiso Mahlangu,Eastern Cape,2023-01-01,Consumer
94,Anele Jacobs,North West,2024-10-21,Small Business
95,Anele Naidoo,Western Cape,2025-11-12,Consumer
96,Lerato Mthembu,Limpopo,2024-11-17,Consumer
97,Sipho Mokoena,Gauteng,2024-02-12,Consumer
98,Karabo Dlamini,North West,2025-08-31,Consumer
99,Nokuthula Ndlovu,North West,2024-02-03,Consumer
100,Tshepo Mokoena,Western Cape,2023-10-30,Small Business
101,Sipho Pillay,North West,2024-03-24,Consumer
102,Boitumelo Dlamini,North West,2024-05-25,Consumer
103,Tshepo Pillay,Mpumalanga,2025-08-09,Corporate
104,Karabo Pillay,Free State,2025-06-25,Small Business
105,Boitumelo Naidoo,North West,2025-07-02,Consumer
106,Palesa Mahlangu,North West,2024-05-21,Small Business
107,Anele Dlamini,Limpopo,2024-07-16,Consumer
108,Naledi Pillay,Western Cape,2024-11-18,Consumer
109,Mpho Naidoo,Eastern Cape,2024-04-18,Consumer
110,Naledi Pillay,North West,2025-04-14,Consumer
111,Palesa Ndlovu,Free State,2024-02-28,Corporate
112,Palesa Mkhize,Free State,2023-02-10,Consumer
113,Kagiso Ndlovu,Free State,2024-12-21,Consumer
114,Anele Mthembu,Limpopo,2024-03-27,Consumer
115,Mpho Molefe,Free State,2023-03-01,Small Business
116,Boitumelo Naidoo,Gauteng,2025-08-15,Corporate
117,Lerato Ndlovu,KwaZulu-Natal,2023-02-25,Corporate
118,Thabo Mahlangu,Free State,2024-01-08,Consumer
119,Naledi Molefe,Free State,2025-07-20,Consumer
120,Kagiso Dlamini,North West,2025-05-13,Consumer
121,Naledi Mthembu,Western Cape,2023-04-17,Small Business
122,Sibusiso Mokoena,Eastern Cape,2023-03-24,Consumer
123,Karabo Naidoo,Eastern Cape,2023-02-11,Consumer
124,Karabo Mthembu,North West,2023-08-23,Small Business
125,Sipho Mkhize,Western Cape,2025-01-25,Small Business
126,Kagiso Dlamini,Gauteng,2023-12-02,Corporate
127,Mpho Mthembu,Western Cape,2025-02-07,Small Business
128,Lerato Mahlangu,Western Cape,2024-05-12,Small Business
129,Naledi Pillay,Free State,2023-03-26,Small Business
130,Zanele Molefe,Gauteng,2023-05-22,Small Business
131,Lerato Ndlovu,Mpumalanga,2025-09-30,Small Business
132,Nokuthula Naidoo,Free State,2025-07-30,Consumer
133,Tshepo Mahlangu,North West,2025-12-04,Consumer
134,Naledi Mthembu,Western Cape,2024-07-03,Consumer
135,Nomsa Jacobs,Free State,2025-07-12,Consumer
136,Palesa Molefe,KwaZulu-Natal,2025-10-09,Consumer
137,Sibusiso Mahlangu,Mpumalanga,2024-12-27,Consumer
138,Zanele Mokoena,Eastern Cape,2024-07-19,Consumer
139,Anele Pillay,Eastern Cape,2025-04-12,Small Business
140,Anele Mokoena,Western Cape,2025-10-02,Consumer
141,Nokuthula Mthembu,Limpopo,2025-04-08,Small Business
142,Anele Pillay,Mpumalanga,2025-01-25,Consumer
143,Naledi Jacobs,Limpopo,2024-11-08,Consumer
144,Lerato Mthembu,Mpumalanga,2024-04-17,Consumer
145,Sibusiso Naidoo,Eastern Cape,2026-01-02,Consumer
146,Kagiso Mkhize,Limpopo,2025-09-18,Corporate
147,Kagiso Mthembu,Mpumalanga,2024-02-02,Consumer
148,Nokuthula Pillay,KwaZulu-Natal,2023-01-29,Consumer
149,Zanele Mahlangu,KwaZulu-Natal,2023-04-22,Small Business
150,Lerato Mokoena,Limpopo,2025-10-02,Consumer
151,Naledi Naidoo,Gauteng,2025-06-21,Consumer
152,Lerato Dlamini,Free State,2025-09-05,Consumer
153,Sipho Naidoo,Limpopo,2023-04-20,Consumer
154,Lerato Pillay,Free State,2024-05-23,Small Business
155,Sibusiso Pillay,Free State,2024-04-07,Consumer
156,Kagiso Mkhize,Free State,2025-06-25,Consumer
157,Karabo Dlamini,Eastern Cape,2023-05-04,Small Business
158,Tshepo Dlamini,KwaZulu-Natal,2024-06-25,Consumer
159,Sipho Mokoena,Free State,2023-06-03,Consumer
160,Kagiso Mokoena,Eastern Cape,2025-08-20,Consumer
161,Nokuthula Jacobs,Western Cape,2024-08-02,Small Business
162,Sibusiso Mkhize,Eastern Cape,2024-06-25,Consumer
163,Tshepo Naidoo,Limpopo,2024-04-05,Small Business
164,Thabo Naidoo,Limpopo,2023-05-27,Small Business
165,Anele Dlamini,North West,2024-08-14,Small Business
166,Kagiso Pillay,North West,2025-04-04,Consumer
167,Boitumelo Ndlovu,Mpumalanga,2023-03-23,Small Business
168,Lerato Mthembu,Gauteng,2023-02-22,Corporate
169,Karabo Mokoena,KwaZulu-Natal,2024-07-05,Consumer
170,Boitumelo Mahlangu,KwaZulu-Natal,2025-06-24,Corporate
171,Tshepo Jacobs,Western Cape,2025-06-11,Consumer
172,Naledi Molefe,Western Cape,2025-04-16,Corporate
173,Mpho Jacobs,Limpopo,2024-11-06,Small Business
174,Palesa Pillay,Gauteng,2025-03-31,Consumer
175,Kagiso Molefe,Western Cape,2024-10-06,Corporate
176,Palesa Pillay,Gauteng,2025-04-07,Small Business
177,Mpho Mokoena,Eastern Cape,2025-08-04,Consumer
178,Tshepo Jacobs,Gauteng,2025-10-17,Consumer
179,Boitumelo Mahlangu,North West,2023-09-26,Corporate
180,Lerato Mokoena,Eastern Cape,2025-09-19,Small Business
181,Zanele Mokoena,Free State,2024-09-28,Consumer
182,Anele Dlamini,KwaZulu-Natal,2023-08-21,Consumer
183,Zanele Mahlangu,Free State,2024-08-20,Small Business
184,Nomsa Jacobs,KwaZulu-Natal,2025-08-25,Consumer
185,Nokuthula Naidoo,Western Cape,2025-11-06,Consumer
186,Naledi Pillay,Limpopo,2025-04-29,Small Business
187,Nokuthula Mahlangu,North West,2024-08-02,Corporate
188,Zanele Jacobs,Mpumalanga,2025-07-03,Consumer
189,Anele Molefe,Eastern Cape,2025-02-11,Corporate
190,Karabo Ndlovu,Eastern Cape,2024-05-04,Corporate
191,Thabo Molefe,North West,2025-04-21,Small Business
192,Mpho Naidoo,North West,2025-02-19,Corporate
193,Zanele Mkhize,Mpumalanga,2023-09-16,Corporate
194,Lerato Pillay,North West,2025-06-20,Consumer
195,Mpho Naidoo,Western Cape,2023-10-23,Consumer
196,Naledi Mkhize,Free State,2024-06-26,Small Business
197,Palesa Pillay,Free State,2024-11-03,Corporate
198,Palesa Pillay,Gauteng,2025-09-26,Small Business
199,Tshepo Mahlangu,Eastern Cape,2024-04-25,Small Business
200,Lerato Dlamini,North West,2025-06-07,Consumer
201,Boitumelo Mokoena,Gauteng,2024-09-05,Consumer
202,Kagiso Molefe,Mpumalanga,2023-04-25,Consumer
203,Zanele Ndlovu,KwaZulu-Natal,2024-05-15,Consumer
204,Karabo Ndlovu,Eastern Cape,2023-06-11,Consumer
205,Nomsa Jacobs,Limpopo,2023-10-21,Consumer
206,Boitumelo Jacobs,Limpopo,2023-01-20,Small Business
207,Lerato Jacobs,Mpumalanga,2023-11-20,Corporate
208,Tshepo Ndlovu,Limpopo,2024-09-04,Consumer
209,Nomsa Ndlovu,North West,2024-09-10,Consumer
210,Karabo Molefe,Limpopo,2025-02-20,Corporate
211,Thabo Ndlovu,Limpopo,2024-08-27,Consumer
212,Boitumelo Mkhize,North West,2023-04-11,Small Business
213,Sibusiso Mthembu,Mpumalanga,2024-08-09,Consumer
214,Karabo Mahlangu,KwaZulu-Natal,2024-01-25,Small Business
215,Kagiso Jacobs,Gauteng,2023-03-22,Small Business
216,Lerato Mahlangu,Mpumalanga,2023-09-27,Small Business
217,Nomsa Naidoo,Mpumalanga,2023-12-26,Consumer
218,Palesa Naidoo,Limpopo,2024-07-12,Corporate
219,Sibusiso Mahlangu,Mpumalanga,2025-09-13,Small Business
220,Lerato Naidoo,Eastern Cape,2025-08-17,Corporate
221,Palesa Pillay,Mpumalanga,2025-03-24,Consumer
222,Thabo Mahlangu,Western Cape,2025-03-19,Consumer
223,Karabo Ndlovu,Mpumalanga,2024-06-20,Consumer
224,Anele Mokoena,Mpumalanga,2024-04-23,Corporate
225,Tshepo Dlamini,North West,2024-03-29,Corporate
226,Tshepo Ndlovu,Western Cape,2024-09-10,Consumer
227,Kagiso Jacobs,Western Cape,2023-03-18,Consumer
228,Sipho Ndlovu,North West,2026-01-05,Consumer
229,Karabo Naidoo,Free State,2025-05-08,Small Business
230,Karabo Ndlovu,Limpopo,2025-09-29,Consumer
231,Nomsa Jacobs,North West,2025-01-28,Corporate
232,Lerato Molefe,Mpumalanga,2025-01-12,Consumer
233,Nomsa Dlamini,North West,2024-07-19,Consumer
234,Tshepo Mkhize,Gauteng,2024-03-10,Consumer
235,Nomsa Naidoo,Eastern Cape,2024-11-14,Consumer
236,Karabo Mthembu,Eastern Cape,2024-02-29,Consumer
237,Sibusiso Mkhize,Gauteng,2023-10-30,Consumer
238,Sipho Pillay,Limpopo,2023-10-24,Small Business
239,Tshepo Mokoena,KwaZulu-Natal,2023-08-14,Consumer
240,Karabo Molefe,Gauteng,2024-05-02,Consumer
241,Sipho Ndlovu,Western Cape,2023-04-18,Small Business
242,Anele Molefe,Western Cape,2025-09-02,Consumer
243,Karabo Mokoena,Limpopo,2024-03-29,Consumer
244,Thabo Jacobs,Free State,2023-03-05,Consumer
245,Anele Jacobs,Western Cape,2023-08-10,Corporate
246,Karabo Naidoo,Western Cape,2024-10-21,Consumer
247,Mpho Mkhize,Limpopo,2024-10-27,Consumer
248,Lerato Dlamini,Eastern Cape,2025-05-31,Consumer
249,Mpho Molefe,North West,2024-04-12,Consumer
250,Naledi Ndlovu,Mpumalanga,2023-07-14,Small Business
251,Sipho Jacobs,Western Cape,2025-02-05,Consumer
252,Lerato Ndlovu,Western Cape,2023-06-24,Small Business
253,Sibusiso Naidoo,Gauteng,2025-02-02,Small Business
254,Tshepo Dlamini,Free State,2024-11-06,Consumer
